,IBB,IYE,IYR,OIH,SMH,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
2006-06-19,22.856290817260742,22.46551513671875,40.156639099121094,34.63327407836914,24.274028778076172,22.21887969970703,38.430789947509766,15.075299263000488,25.006317138671875,16.40256690979004,16.67911148071289,19.578493118286133,23.941020965576172,27.167715072631836
2006-06-20,22.76198387145996,22.344348907470703,39.90873336791992,33.8000373840332,24.207468032836914,22.31522560119629,38.25030517578125,15.118240356445312,24.97600555419922,16.37808609008789,16.798954010009766,19.62795066833496,23.85347557067871,27.06884002685547
2006-06-21,22.895313262939453,22.772308349609375,40.41608810424805,34.82322311401367,24.614255905151367,22.856245040893555,39.1076545715332,15.242277145385742,25.271543502807617,16.590253829956055,16.862394332885742,19.609405517578125,23.97285270690918,27.33251953125
2006-06-22,22.69370460510254,22.928348541259766,40.12747573852539,35.03089904785156,24.303607940673828,22.7376708984375,39.27311706542969,15.185025215148926,25.119983673095703,16.394392013549805,16.834197998046875,19.541399002075195,23.837556838989258,27.118270874023438
2006-06-23,22.986356735229492,23.394102096557617,39.97618103027344,35.65137481689453,24.000383377075195,22.930356979370117,40.14551544189453,15.08484172821045,25.18818473815918,16.34544563293457,16.777799606323242,19.572311401367188,23.861434936523438,27.09355354309082
2006-06-26,23.0058650970459,23.6502685546875,40.377685546875,36.023643493652344,24.200077056884766,22.997058868408203,40.589229583740234,15.21841812133789,25.25638198852539,16.37808609008789,16.86945343017578,19.652681350708008,23.77387809753418,27.23363494873047
2006-06-27,22.566883087158203,23.727895736694336,40.29621887207031,35.529815673828125,23.734119415283203,22.708024978637695,40.6644401550293,15.070530891418457,25.021480560302734,16.15775489807129,16.791906356811523,19.578493118286133,23.52714729309082,26.887563705444336
2006-06-28,22.664438247680664,24.16779136657715,40.43586730957031,35.951637268066406,23.800676345825195,22.767314910888672,41.36387634277344,15.151629447937012,25.09725570678711,16.26382827758789,16.86945343017578,19.634130477905273,23.52714729309082,26.912269592285156
2006-06-29,23.38306427001953,24.866424560546875,41.262168884277344,37.55780792236328,24.45894432067871,23.678897857666016,42.53710174560547,15.471263885498047,25.627685546875,16.680015563964844,17.137325286865234,19.887592315673828,23.93306541442871,27.497323989868164
2006-06-30,23.639949798583984,24.925939559936523,41.46001052856445,37.85422897338867,24.34060287475586,23.790058135986328,42.67997741699219,15.428328514099121,25.620107650756836,16.590253829956055,17.052738189697266,19.96177864074707,24.068368911743164,27.513805389404297
2006-07-03,23.724496841430664,25.192459106445312,42.21065139770508,38.431846618652344,24.65863609313965,24.071687698364258,43.138763427734375,15.609613418579102,25.711040496826172,16.712661743164062,17.151426315307617,20.1843318939209,24.11612319946289,27.55500602722168
2006-07-05,23.493623733520508,25.25196647644043,42.17574691772461,38.31782531738281,23.97819709777832,23.782651901245117,43.33428192138672,15.461725234985352,25.52159881591797,16.451526641845703,17.010440826416016,20.048328399658203,24.092247009277344,27.299560546875
2006-07-06,23.68222427368164,25.249385833740234,42.30375671386719,37.60342788696289,23.935976028442383,23.760417938232422,43.221492767333984,15.50943374633789,25.589797973632812,16.46784782409668,17.20782470703125,19.9432315826416,24.179800033569336,27.31604766845703
2006-07-07,23.43183708190918,24.907825469970703,42.129188537597656,36.67618942260742,23.550853729248047,23.57513427734375,42.634864807128906,15.43309497833252,25.210914611816406,16.304641723632812,17.172578811645508,20.097780227661133,24.20366668701172,27.11004066467285
2006-07-10,23.292022705078125,24.95699119567871,42.565616607666016,36.734466552734375,23.025054931640625,23.634424209594727,42.762718200683594,15.538049697875977,25.27911949157715,16.116943359375,17.2783203125,20.209060668945312,24.291229248046875,27.142993927001953
2006-07-11,23.399322509765625,25.414989471435547,42.55398178100586,37.785804748535156,23.706378936767578,23.60478973388672,43.544883728027344,15.542826652526855,25.347318649291992,16.182222366333008,17.369962692260742,20.363609313964844,24.346942901611328,27.118270874023438
2006-07-12,23.23674201965332,25.35288429260254,42.74017333984375,37.801029205322266,23.069467544555664,23.434324264526367,43.394466400146484,15.39016342163086,25.08966827392578,15.888456344604492,17.228973388671875,20.264698028564453,24.25939178466797,26.689786911010742
2006-07-13,22.722965240478516,25.125179290771484,42.07682418823242,36.98780059814453,22.714000701904297,22.774721145629883,42.98081588745117,15.146862983703613,24.597126007080078,15.627318382263184,17.087982177734375,20.19051170349121,24.004697799682617,26.203632354736328
2006-07-14,22.352272033691406,25.453800201416016,41.51238250732422,37.190467834472656,22.751033782958984,22.811779022216797,43.48470687866211,15.08484172821045,24.248550415039062,15.586519241333008,16.918798446655273,20.19051170349121,23.85347557067871,25.86577796936035
2006-07-17,22.150667190551758,24.698238372802734,41.4832878112793,35.47532653808594,22.639944076538086,22.507915496826172,42.078338623046875,15.113469123840332,24.165199279785156,15.635482788085938,16.96109390258789,20.246150970458984,23.948986053466797,26.04706382751465
2006-07-18,22.09213638305664,24.788795471191406,41.977901458740234,35.00159454345703,22.758424758911133,22.60426139831543,42.130985260009766,15.146862983703613,24.278858184814453,15.668116569519043,17.03864288330078,20.277063369750977,23.948986053466797,25.890501022338867
2006-07-19,22.817270278930664,24.964754104614258,42.97877502441406,35.6704216003418,22.958385467529297,23.21198081970215,42.56718444824219,15.547597885131836,24.771408081054688,15.896612167358398,17.250125885009766,20.586162567138672,24.514081954956055,26.409622192382812
