,DBA,DBB,DBC,DBE,DBO,DGL,GLD,GSG,IAU,SLV,UNG,USO
2010-09-21,27.169246673583984,20.450057983398438,23.001239776611328,22.661161422729492,23.88739013671875,44.95966339111328,126.01000213623047,28.889999389648438,12.619999885559082,20.59000015258789,208.63999938964844,32.650001525878906
2010-09-22,27.218717575073242,21.090045928955078,23.139446258544922,22.533296585083008,23.81849479675293,45.03839874267578,126.19999694824219,28.920000076293945,12.640000343322754,20.709999084472656,209.9199981689453,32.58000183105469
2010-09-23,27.06041145324707,21.277118682861328,23.159189224243164,22.60214614868164,23.81849479675293,45.1072998046875,126.30000305175781,28.959999084472656,12.640000343322754,20.65999984741211,212.16000366210938,32.66999816894531
2010-09-24,27.60458755493164,21.59218978881836,23.51457405090332,22.85787010192871,24.1137638092041,45.186038970947266,126.69000244140625,29.459999084472656,12.670000076293945,21.010000228881836,205.75999450683594,33.400001525878906
2010-09-27,27.703529357910156,21.20819854736328,23.356624603271484,22.69066619873047,23.936601638793945,45.225406646728516,126.72000122070312,29.31999969482422,12.6899995803833,20.989999771118164,199.67999267578125,33.2400016784668
2010-09-28,27.574907302856445,21.52326774597168,23.356624603271484,22.80869483947754,24.08423614501953,45.62894058227539,127.8499984741211,29.299999237060547,12.8100004196167,21.290000915527344,202.8800048828125,33.189998626708984
2010-09-29,27.30776596069336,21.602035522460938,23.662649154663086,23.3103084564209,24.57635498046875,45.697837829589844,127.94999694824219,29.670000076293945,12.800000190734863,21.399999618530273,202.55999755859375,33.939998626708984
2010-09-30,27.189035415649414,21.562650680541992,23.80085563659668,23.76274299621582,24.901151657104492,45.64862823486328,127.91000366210938,30.010000228881836,12.800000190734863,21.309999465942383,197.44000244140625,34.84000015258789
2010-10-01,26.367822647094727,21.76941680908203,23.8502140045166,24.146329879760742,25.353900909423828,46.01279067993164,128.91000366210938,30.420000076293945,12.90999984741211,21.649999618530273,194.24000549316406,35.630001068115234
2010-10-04,26.110576629638672,21.749725341796875,23.771240234375,24.067646026611328,25.255477905273438,45.86515426635742,128.4600067138672,30.200000762939453,12.869999885559082,21.510000228881836,190.39999389648438,35.59000015258789
2010-10-05,26.67453956604004,22.15340805053711,24.25495719909668,24.402055740356445,25.570432662963867,46.77064895629883,130.99000549316406,30.719999313354492,13.119999885559082,22.34000015258789,192.32000732421875,36.09000015258789
2010-10-06,26.5063419342041,22.202638626098633,24.264827728271484,24.559425354003906,25.678699493408203,47.05607604980469,131.80999755859375,30.850000381469727,13.199999809265137,22.690000534057617,197.75999450683594,36.279998779296875
2010-10-07,26.733905792236328,21.651264190673828,24.018033981323242,24.077482223510742,25.137371063232422,46.504905700683594,130.3699951171875,30.440000534057617,13.050000190734863,22.020000457763672,184.63999938964844,35.459999084472656
2010-10-08,28.4060115814209,22.28140640258789,24.81764793395996,24.39221954345703,25.54090690612793,46.99702453613281,131.66000366210938,31.200000762939453,13.180000305175781,22.729999542236328,186.55999755859375,36.150001525878906
2010-10-11,28.00035285949707,22.28140640258789,24.699186325073242,24.23484992980957,25.432640075683594,47.20370864868164,132.2899932861328,31.059999465942383,13.239999771118164,22.780000686645508,184.0,35.599998474121094
2010-10-12,28.554424285888672,22.47832489013672,24.81764793395996,24.1856746673584,25.363744735717773,47.09543991088867,131.9600067138672,31.1299991607666,13.210000038146973,22.84000015258789,185.9199981689453,35.650001525878906
