,EWA,EWC,EWG,EWH,EWI,EWJ,EWL,EWM,EWP,EWS,EWT,EWU,EWW,EWY,EWZ,EZA
2010-05-20,11.772879600524902,20.642539978027344,15.322700500488281,10.677099227905273,20.952796936035156,33.2952995300293,15.45172119140625,23.345251083374023,21.393159866333008,15.139309883117676,17.781009674072266,18.589839935302734,38.8319206237793,37.93935775756836,44.852088928222656,38.73518753051758
2010-05-21,12.295552253723145,21.035730361938477,15.443098068237305,10.885869026184082,21.985475540161133,33.60550308227539,15.61959171295166,23.428922653198242,22.583826065063477,15.32120132446289,18.0026798248291,19.08301544189453,39.91176223754883,38.640323638916016,46.788211822509766,39.65297317504883
2010-05-24,12.270054817199707,20.789979934692383,15.057825088500977,10.90824031829834,21.01266098022461,33.157432556152344,15.291850090026855,22.926876068115234,21.399629592895508,15.237253189086914,17.971017837524414,18.767932891845703,39.7430419921875,38.13212966918945,46.13008499145508,39.999027252197266
2010-05-25,12.174443244934082,20.83094596862793,14.913347244262695,10.893326759338379,20.922863006591797,32.950626373291016,15.347808837890625,22.571252822875977,21.399629592895508,15.083337783813477,17.670175552368164,18.713134765625,39.63336944580078,36.975547790527344,45.74745559692383,39.86361312866211
2010-05-26,12.072461128234863,20.86370277404785,14.680577278137207,10.677099227905273,20.354145050048828,32.537017822265625,15.15595531463623,22.382993698120117,20.403095245361328,14.999390602111816,17.527671813964844,18.603538513183594,40.25764846801758,36.87916564941406,45.992340087890625,40.7061767578125
2010-05-27,12.90108585357666,21.617324829101562,15.555468559265137,11.139375686645508,22.060302734375,33.32977294921875,15.859397888183594,23.428922653198242,21.897897720336914,15.601042747497559,18.24018096923828,19.781675338745117,42.2907829284668,39.26242446899414,48.80850601196289,43.25642395019531
2010-05-28,12.818222045898438,21.437108993530273,15.370861053466797,11.020079612731934,21.371849060058594,32.778297424316406,15.651562690734863,23.19882583618164,21.72965431213379,15.405158042907715,17.986845016479492,19.411794662475586,41.24467468261719,38.552703857421875,48.60954284667969,42.346153259277344
2010-06-01,12.416657447814941,21.18317413330078,15.250463485717773,10.85604476928711,20.81810188293457,32.67489242553711,15.491689682006836,23.24065399169922,21.004899978637695,15.041365623474121,17.686010360717773,19.2611026763916,40.578224182128906,38.1058464050293,47.95140075683594,41.03718185424805
2010-06-02,12.786352157592773,21.887643814086914,15.571525573730469,11.079727172851562,21.521514892578125,32.847225189208984,16.05124855041504,23.51259422302246,21.774948120117188,15.489107131958008,17.986845016479492,19.767980575561523,41.60744857788086,39.490234375,49.56610870361328,43.12101364135742
2010-06-03,12.82459831237793,21.8466854095459,15.563496589660645,11.087182998657227,21.446683883666992,32.778297424316406,16.059242248535156,23.596275329589844,21.276683807373047,15.615036964416504,18.05017852783203,19.740577697753906,41.48088455200195,39.8494758605957,49.08400344848633,41.75185775756836
